metric,K_S,E_S,AST_S,SA_S,SE_S,RE_S,D_S,BT_S,B_S,PTS_S,K%,Eff,Pass_Eff,Srv_Eff,PSF,AEV,APM,SR_Hit_Pct,Transition_Hit_Pct,SR_Hit_Avg,Transition_Hit_Avg,Dig_Att_Cnv_Pct,Dig_Kill_Pct,Dig_Rate,Reception_Rate,Pct_Points_Won_On,Blocked_Rate,Srv_Avg,Attack_Error_Rate_No_Blocks,Kill_Rate_Rally_Point
AEV,0.268170799289511,0.182323682980226,0.110074860215653,0.289533268145103,0.100421556931156,0.0886138298293537,0.23752761409655,0.196265913357133,0.167981681918761,0.283573832280807,0.109843881941611,0.157417357148606,-0.064464349032574,0.198121280921003,0.254188596993631,1.0,0.0649813056587812,0.150222783206203,0.114393037125268,0.144745078754449,0.114782049237943,-0.0943194700647709,-0.0307668988278039,-0.007804159911902,-0.0204150144331896,0.245294895114637,-0.0504960763956512,0.224016855688838,-0.0956710068740758,0.191110650383925
APM,-0.0665828602022925,-0.0312964684151397,0.311160660622369,-0.115490989163736,-0.23721186522665,0.271742218515142,0.569476197960269,-0.409352287615776,-0.356517548811531,-0.108021308813606,-0.296913194056817,-0.223239710047472,0.240788807148254,0.160932201271322,0.205110315404719,0.0649813056587812,1.0,-0.108383153175227,-0.144536362794049,-0.119936339706787,-0.158198534998382,0.281878717213326,0.28069107512314,0.572276045489972,0.212153366352232,0.626108683617606,-0.0799206384210767,0.14402664791075,-0.0311059197507409,-0.149459015499859
SR_Hit_Pct,0.0921018130030825,-0.132084693955612,0.0103722373227554,0.10545692763515,0.107857035892295,-0.103483240330813,-0.0570691483978303,0.266145505515881,0.202764747186,0.121863653814458,0.632436814464635,0.680182123347506,-0.0869020200639585,0.0138875407647922,-0.0895642203145751,0.150222783206203,-0.108383153175227,1.0,0.197702513095828,0.907117050678489,0.18813850305991,-0.0648621760602925,-0.120468658961031,-0.183097796597409,-0.0849041705272857,0.107869570897284,-0.375765561619351,0.0147621915572345,-0.228406023814167,0.147025370160718
Transition_Hit_Pct,0.128941863459972,-0.0387626451982405,0.0855900812337989,0.0857505445904099,0.0406227740278089,0.0020428837215303,0.0155636023443632,0.165336052010416,0.0904604371606085,0.132414172211034,0.446414264815576,0.523516987142579,-0.130599361629365,0.0240136275442094,-0.0698207605202273,0.114393037125268,-0.144536362794049,0.197702513095828,1.0,0.200733277113726,0.905002149563217,-0.0318659026057214,-0.0085433821799724,-0.0640465700464336,-0.0714202127615436,0.0105591390091481,-0.238072298834039,0.0319276376307136,-0.22445664213727,0.161079722292886
SR_Hit_Avg,0.106403610444079,-0.112603036194094,-0.0038106067607429,0.1152875082267,0.130236600768357,-0.109323297400351,-0.074428616995954,0.272631706294065,0.209924748437457,0.135922489738732,0.664354830689998,0.688674639191252,-0.0871025031218305,-0.0075082306862134,-0.101374014505947,0.144745078754449,-0.119936339706787,0.907117050678489,0.200733277113726,1.0,0.192553345488976,-0.0734203289305266,-0.120070736441292,-0.201673983712114,-0.0877728823286881,0.0999291651822978,-0.347891829587976,-0.0046011420229708,-0.187146159647941,0.165915432738117
Transition_Hit_Avg,0.156661037222265,-0.0002450614741782,0.0604061647410493,0.0929341217304368,0.0521159123848305,-0.0023874862612673,0.0108814195435454,0.166498262881784,0.103232937069474,0.16077419072838,0.459011596999982,0.51596777720016,-0.12906893561193,0.0082100277118844,-0.0782065330665896,0.114782049237943,-0.158198534998382,0.18813850305991,0.905002149563217,0.192553345488976,1.0,-0.0453406251811404,-0.0103674142913471,-0.0786291457957494,-0.0776470981091627,-0.0070608488406666,-0.205931928320717,0.0180630969890722,-0.193814961859803,0.194188792882568
Dig_Att_Cnv_Pct,-0.0388426845151337,-0.0160402549461096,0.174977989936476,-0.100443440115505,-0.157636745161673,0.151453400915544,0.235393868200877,-0.253058659540017,-0.330749193759986,-0.0829990702951299,-0.196525375304188,-0.136311595440874,0.16668622889955,0.131157163417113,0.117683039189728,-0.0943194700647709,0.281878717213326,-0.0648621760602925,-0.0318659026057214,-0.0734203289305266,-0.0453406251811404,1.0,0.306090835997756,0.320413311260776,0.103253345830073,0.159361832912165,0.0463028769114169,0.115930845460915,-0.0826500266758733,-0.0885699130336074
Dig_Kill_Pct,0.084762736938746,0.121576567122474,0.0174835970349592,0.0172425479320879,-0.0034521285843944,0.172419811467136,0.192280163943664,-0.158835403058916,-0.182089505645005,0.0530519631195738,-0.145207951605731,-0.14788296640309,0.190809970693617,-0.03700319019655,0.119983191422334,-0.0307668988278039,0.28069107512314,-0.120468658961031,-0.0085433821799724,-0.120070736441292,-0.0103674142913471,0.306090835997756,1.0,0.269315462040751,0.164657147627516,0.240442972270267,0.019161199223541,-0.0334019805339217,0.0351442481586682,0.0617297221305039
Dig_Rate,-0.245462942684318,-0.207667529551611,0.412220073294604,-0.207878610081204,-0.322950276099605,0.177532650979098,0.603274819814002,-0.511727633311711,-0.538177147376411,-0.297017344798071,-0.352310694140221,-0.273064660752525,0.166005269051069,0.178534802700162,0.194654654042271,-0.007804159911902,0.572276045489972,-0.183097796597409,-0.0640465700464336,-0.201673983712114,-0.0786291457957494,0.320413311260776,0.269315462040751,1.0,0.179048034958993,0.33803810530431,-0.129189212800924,0.15682605704791,-0.0557988634233735,-0.333741239714389
Reception_Rate,0.15864925780416,0.203247656168556,-0.17614888965139,0.031431265779187,0.061652618076774,0.623300419681035,0.15080249318602,-0.258843086493394,-0.118413164455414,0.121414006922189,-0.197089894486694,-0.187824892442748,0.312950752917385,-0.0221148464773281,-0.0187062930656025,-0.0204150144331896,0.212153366352232,-0.0849041705272857,-0.0714202127615436,-0.0877728823286881,-0.0776470981091627,0.103253345830073,0.164657147627516,0.179048034958993,1.0,0.0803084175513158,0.0542216182417553,-0.0304487721119608,0.0409205553245094,0.0757464918450748
Pct_Points_Won_On,0.0938204154767144,0.0160745245600167,0.266585245062652,0.0980916676688815,-0.0596951022161907,0.167808085062631,0.496676858332719,-0.088347387313856,-0.0654755339554257,0.090565368394877,-0.0359576159393283,0.0477429596402862,0.201496622458888,0.189118017693978,0.290814619514394,0.245294895114637,0.626108683617606,0.107869570897284,0.0105591390091481,0.0999291651822978,-0.0070608488406666,0.159361832912165,0.240442972270267,0.33803810530431,0.0803084175513158,1.0,-0.140453392963308,0.188600337953505,-0.119490791549938,0.0219515855227973
Blocked_Rate,0.17641675316009,0.37018345384617,-0.21538394034361,0.0228610825577674,0.107820744109346,0.0319646010900356,-0.0860142364391816,-0.037783069333294,0.0443583609676196,0.158144530085855,-0.216343624369386,-0.424863187772075,0.12715513914354,-0.168691303444957,0.0238762212841317,-0.0504960763956512,-0.0799206384210767,-0.375765561619351,-0.238072298834039,-0.347891829587976,-0.205931928320717,0.0463028769114169,0.019161199223541,-0.129189212800924,0.0542216182417553,-0.140453392963308,1.0,-0.157166601555354,0.105503965084913,0.180103995640523
Srv_Avg,-0.11697411530555,-0.145872089499186,0.25097085849133,0.158180711292424,-0.513442351777532,0.0200238024864195,0.229833512790594,-0.0625575674154644,-0.10590359112367,-0.100240850046256,-0.124728467339272,-0.0315380166743578,0.0404901636034568,0.906651048112471,0.308622478482646,0.224016855688838,0.14402664791075,0.0147621915572345,0.0319276376307136,-0.0046011420229708,0.0180630969890722,0.115930845460915,-0.0334019805339217,0.15682605704791,-0.0304487721119608,0.188600337953505,-0.157166601555354,1.0,-0.108834560367217,-0.215496167137177
Attack_Error_Rate_No_Blocks,0.136995265580919,0.304331320098727,-0.161628084259337,0.132601882101238,0.164566913147009,0.0529780349599913,-0.0833550072236623,-0.0655680071256829,0.0412846713096133,0.129978325342699,-0.0473671051268018,-0.309294294818039,0.0611429360045586,-0.125802153661748,-0.0418207112366099,-0.0956710068740758,-0.0311059197507409,-0.228406023814167,-0.22445664213727,-0.187146159647941,-0.193814961859803,-0.0826500266758733,0.0351442481586682,-0.0557988634233735,0.0409205553245094,-0.119490791549938,0.105503965084913,-0.108834560367217,1.0,0.148765990872733
Kill_Rate_Rally_Point,0.785768961979892,0.679874197711792,-0.330819754717213,0.391256890015755,0.494077955409522,0.178995164499971,-0.0217571596823294,0.29757837946713,0.389121735698738,0.77616490616935,0.284425999398836,0.197872024851686,0.0497769229283376,-0.257274136682203,-0.0370895525628075,0.191110650383925,-0.149459015499859,0.147025370160718,0.161079722292886,0.165915432738117,0.194188792882568,-0.0885699130336074,0.0617297221305039,-0.333741239714389,0.0757464918450748,0.0219515855227973,0.180103995640523,-0.215496167137177,0.148765990872733,1.0
